id,manufacturer,product_item,description,total_stock_received,serial_no,mac_product_no,comments,stock_in_date
3,,Yealink Cordless,,1,,,,3/3/2023
4,,Yealink T54W,,1,,,,3/8/2023
5,,Yealink T54W,,1,,,,3/17/2023
6,,Yealink T54W,,1,,,,4/20/2023
7,,Yealink T54W,,1,,,,4/29/2023
8,,Desktop,,1,,,,5/3/2023
10,,Desktop,,1,,,,5/3/2023
11,,LCD,,1,,,,5/3/2023
13,,Desktop,,1,,,,5/26/2023
14,,Desktop,,1,,,,6/5/2023
15,,LCD,,1,,,,6/5/2023
17,,Desktop,,1,,,,6/5/2023
18,,Desktop,,1,,,,6/5/2023
19,,Desktop,,1,,,,6/7/2023
20,,Desktop,,1,,,,6/7/2023
28,HP,Desktop HP EliteDesk,,1,,,,6/28/2023
32,Yealink,Yealink T54W,,1,,,,7/24/2023
34,Yealink,Spiral Cord - T53,,1,,,,7/24/2023
36,HP,Desktops - HP,,1,,,,11/20/2023
37,Dell,"LCD - Dell 22""",,1,,,,11/20/2023
38,Yealink,Yealink T54W,,1,201081F051209236,,,12/4/2023
39,Yealink,Yealink T54W,,1,201081F051207094,,,12/4/2023
40,Yealink,Yealink T54W,,1,201081F051208219,,,12/4/2023
41,Yealink,Yealink T54W,,1,201081F051208917,,,12/4/2023
42,Yealink,Yealink W56H,,1,8.30152E+15,,,12/4/2023
44,Yealink,Power Adapter,,1,,,,12/4/2023
45,Yealink,Yealink W56H,,1,8.30152E+15,,,12/4/2023
46,Yealink,Yealink T54W,,1,201081F051206650,,,12/4/2023
47,Yealink,Yealink T54W,,1,201081F051207090,249AD8800E3B,,12/4/2023
48,Yealink,Yealink T54W,,1,201081F051208036,,,12/4/2023
49,Yealink,Yealink T54W,,1,201081F051208231,249AD88026A9,,12/4/2023
50,Yealink,Yealink T54W,,1,201081F051208772,,,12/4/2023
51,Yealink,Yealink T54W,,1,201081F051206263,,,12/7/2023
52,Laptop,Dell Precision T1700,,1,,,,12/20/2023
53,,Wireless Router,,1,,,,12/29/2023
57,Yealink,Yealink T53,,1,,,,1/20/2024
59,,NvMe Drive,,1,,,,1/30/2024
60,,Desktops - HP,,1,,,,2/21/2024
62,,Cisco Switch,,1,,,,2/28/2024
64,,Desktops - HP,"i7-6th gen, 256 NVme + 500 GB + 16 GB RAM",1,,,,4/10/2024
66,,Microtik Router,,1,,,,4/14/2024
69,Yealink,Spiral Cord - T53,,1,,,,4/25/2024
70,Yealink,Yealink T53,,1,Haulage,,,4/30/2024
71,,Yealink W56H,,1,,,,5/3/2024
75,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,22GYGH2,,,5/21/2024
76,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,BR5XPQ2,,,5/21/2024
77,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,3MTRHM2,,,5/21/2024
78,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,CD1CHR2,,,5/21/2024
79,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,CYLKHR2,,,5/21/2024
82,Yealink,Yealink T53,,1,2.01087E+15,249AD8985847,,6/5/2024
83,Yealink,Yealink T53,,1,201086F121004247,249AD898583D,,6/5/2024
84,Yealink,Yealink T54W,,1,301081G011202884,249AD8A524C8,,6/5/2024
85,Yealink,Yealink T54W,,1,301081G011205899,249AD8A54168,,6/5/2024
86,Yealink,Yealink T53,,1,201086F121004154,249AD8985C44,,6/5/2024
87,Yealink,Yealink T53,,1,201086F121002329,249AD8985841,,6/5/2024
88,,Desktops - HP,"i7-6th gen, 256 NVme + 500 GB + 16 GB RAM",1,MXL746213P,,,6/5/2024
89,,Desktops - HP,"i7-6th gen, 256 NVme + 500 GB + 16 GB RAM",1,2UA7391WB4,,,6/5/2024
90,Yealink,Business Phone - SIP - T54W,,1,301081G011200999,249AD8A541D8,,6/5/2024
91,Dell,Workstations - Dell,,1,7TW9FB2,,,6/19/2024
92,Dell,Workstations - Dell,,1,98K9RD2,,,6/19/2024
93,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,702HZV2,,,6/20/2024
94,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,CMV9ZV2,,,6/20/2024
95,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,4T2WDW2,,,6/20/2024
96,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,4T4VDW2,,,6/20/2024
98,Yealink,Yealink W56H,,1,8.30152E+15,,,6/21/2024
99,Yealink,Yealink W56H,,1,8.30152E+15,,,6/21/2024
101,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,CMZFZV2,,,6/24/2024
102,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,BC93JV2,,,6/24/2024
103,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +1 TB HDD Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,702DZV2,,,6/24/2024
104,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,4T2YDW2,,,6/24/2024
106,,VGA to Display,,10,,,,6/24/2024
108,Dell CPU,Dell OptiPlex,,1,CMZ9ZV2,"16 GB RAM , 1TB SSD +500 GB,i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",,6/24/2024
109,Dell - Laptop,Dell Latitude 7480,Faulty Keyboard,1,296H3M2,,,6/27/2024
110,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,3RJSNN2,,,6/27/2024
111,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,8T8NFH2,,,6/27/2024
112,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,ServiceTag S/N:H6MNMQ2,Bios S/N: 412CHR2,,6/27/2024
113,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,B1FRNN2,,,6/27/2024
114,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,B98P0N2,,,6/27/2024
115,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,J7K4QQ2,,,6/27/2024
116,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,G3LMHR2,,,6/27/2024
117,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,3MWS7S2,,,6/27/2024
118,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,9CPCST2,,,6/27/2024
119,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,JTH7RN2,,,6/27/2024
120,Yealink - Base DECT IP Phone Base W70B,Yealink - DECT IP Phone W76P(Combo Splitted for Base),,1,802017F072500695,,,7/11/2024
121,Yealink - Phone DECT IP Phone W56H,Yealink - DECT IP Phone W76P(Combo Splitted for Phone),,1,8.30152E+15,,,7/11/2024
122,,Dell Monitor- P2419H,,1,CN-0GMGXF,,,7/24/2024
123,,Dell Monitor- P2419H,,1,CN-0G8TVH,,,7/24/2024
124,Synology,Synology - Disk Station DS923+    4-BAY,,1,2440TQR9V3YX6,,,7/25/2024
126,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,CDSSPQ2,#20131,,8/12/2024
127,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,1VMNFH2,,,8/12/2024
128,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,B1FTNN2,,,8/21/2024
129,Dell - Laptop,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,296H3M2,,,8/21/2024
131,Dell - Laptop,Dell Latitude 7480,"On Oct 2, 2024 Laptop given to Ravinder Singh as replacement #19853",1,JTH7RN2,,,8/27/2024
132,HP - Laptop,HP WAS11UC#ABA,System Model HP WAS11UC#ABA,1,5CG8060SLG,,,8/27/2024
133,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,2N338S2 (2018),,,8/28/2024
134,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,G2HBYY2 ,,,8/28/2024
135,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,837DYY2,,,8/28/2024
136,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,DD3CYY2,,,8/28/2024
137,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,HBVYPQ2 (2018),,,8/28/2024
138,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,6JVCRV2,,,8/28/2024
140,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,5B6M1N2,Battery Issue - returned by Diamond - Returning,,8/28/2024
141,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,FR3VNH2,,,8/28/2024
142,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,8P338S2 (2018),,,8/28/2024
143,,CHARGER - Dell Latitude 7480,Interac to Rajkaran 25$,1,,,,9/11/2024
144,VGA Cable,1 VGA Cable,,1,,,,9/12/2024
145,1 VGA to display converter cable,1 VGA to display converter cable,,1,,,,9/12/2024
146,Yealink,Yealink T53,,1,201086D051012425,805E0C2F4D01,,9/12/2024
147,LCD Monitor,HP Compaq LA2306x Monitor,,1,3CQ3092RS0,Product No. XN 375A,,9/12/2024
148,LCD Monitor,HP Compaq LA2306x Monitor,,1,3CQ2480XT6,Product No. XN375A,,9/12/2024
149,HP - CPU,HP Compaq 82100 Elite,,1,2UA2032151,,,9/19/2024
150,Yealink,Business Phone - SIP - T53,,1,301086G041006453,44DBD22CD107,,9/24/2024
151,Yealink,Business Phone - SIP - T53,,1,301086G041006441,44DBD22CD315,,9/24/2024
152,Yealink,Business Phone - SIP - T53,,1,301086G041009418,44DBD22CCD89,,9/24/2024
153,Yealink,Business Phone - SIP - T53,,1,301086G041009439,44DBD22CCC12,,9/24/2024
154,Yealink,Business Phone - SIP - T53,,1,301086G041009441,44DBD22CD8DD,,9/24/2024
155,Dell,LCD S2725H,,1,CN-0V8C56-WSL00-42S-327B,29THK04,,9/25/2024
156,Dell,LCD S2725H,,1,CN-0V8C56-WSL00-42S-324B,H8THK04,,9/25/2024
157,Dell,LCD S2725H,,1,CN-0V8C56-WSL00-42S-308B,H7THK04,,9/25/2024
158,Dell,LCD S2725H,,1,CN-0V8C56-WSL00-42S-313B,Service Tag# 48THK04,,9/25/2024
160,CISCO,Cisco Switches,,1,FOC1902Z1QT,,,9/30/2024
161,CISCO,Cisco Switches,Serial Number was not confirmed,1,FOC1704Z28T,Serial Number was not confirmed,,9/30/2024
167,Dell,Dell Opti Plex,i5 6th Gen 16 GB RAM 512 GB SSD,1,HV1QZV2,,,10/28/2024
169,Dell,Dell Opti Plex,i5 6th Gen 16 GB RAM 512 GB SSD,1,89KPCP2,,,10/28/2024
170,Dell,Dell Opti Plex,i5 6th Gen 16 GB RAM 512 GB SSD,1,HV1RZV2,,,10/28/2024
171,Dell,Dell Opti Plex,i5 6th Gen 16 GB RAM 512 GB SSD,1,HV0NZV2,,,10/28/2024
172,Dell,Dell Opti Plex,i5 6th Gen 16 GB RAM 512 GB SSD,1,HV1NZV2,,,10/28/2024
173,Dell,Dell Latitude 7480, i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,3QR4QQ2,,,10/31/2024
174,Dell,Dell Latitude 7470, i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,4XB80G2,,,10/31/2024
175,Dell,Dell Latitude 7480, i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,GFKGPQ2,,,10/31/2024
176,Dell,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,5B6M1N2,dig\Mamoon,,10/31/2024
177,Dell,Dell Opti Plex,i5 6th Gen 16 GB RAM 512 GB SSD,1,HTZHZV2,Edward Hajjar,,10/31/2024
178,Dell,Dell Latitude 5480, i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,3KT0X2,dig\kulvir,,11/19/2024
179,Lenovo,Lenovo ThinkPad T480s,"i7-8650U CPU @ 1.90GHz, 2112 Mhz, 4 Core(s)  RAM 16.0 GB HDD 512 GB NVMe",1,PC15541J, A0-51-0B-0C-FA-FD,,11/19/2024
180,Lenovo,Lenovo ThinkPad T480s,"i7-8650U CPU @ 1.70GHz, 1896 Mhz, 4 Core(s)  RAM 16.0 GB HDD 250 GB NVMe",1,PC19DLEY,,,11/19/2024
181,Yealink,Business Phone - SIP - T54W,6/30/2024,1,201081E101200415,249AD826BD82,,12/11/2024
182,Yealink,Business Phone - SIP - T54W,6/30/2024,1,301081E081243935,249AD810B7D7,,12/11/2024
183,Dell,Dell Latitude E7470,"Intel(R) Core(TM) i7-6650U CPU @ 2.20GHz, 2201 Mhz, 2 Core(s), 4 Logical Processor(s), (RAM)16.0 GB,HDD 256GB NVMe
",1,7HC0PC2,dig\sukhveer,,12/17/2024
197,,Converter - HDMI to Display,,1,Stock re-checked,Store Top Drawer,,12/19/2024
198,,Converter - HDMI to Display,,1,Stock re-checked,Store Top Drawer,,12/19/2024
199,,Converter - HDMI to Display,,1,Stock re-checked,Store Top Drawer,,12/19/2024
200,,Converter - HDMI to Display,,1,Stock re-checked,Store Top Drawer,,12/19/2024
210,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
232,GCI Transformer - Output 12VDC 800mA,Power Adapters,,1,Stock re-checked,Store Room Shelf,,12/19/2024
269,Dell Laptop,Latitude 7400,,1,JXXV0Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
270,Dell Laptop,Latitude 7400,,1,FVB72Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
271,Dell Laptop,Latitude 7400,,1,8GZ62Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
272,Dell Laptop,Latitude 7400,,1,DWKP533,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
273,Dell Laptop,Latitude 7400,,1,HYM2L13,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
274,Dell Laptop,Latitude 7400,,1,HGPB3X2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
275,Dell Laptop,Latitude 7400,,1,3VLX0Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
276,Dell Laptop,Latitude 7400,,1,8WTN2Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
277,Dell Laptop,Latitude 7400,,1,3FC3L13,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
278,Dell Laptop,Latitude 7400,,1,3V3H533,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
279,Dell Laptop,Latitude 7400,,1,BK03L13,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
280,Dell Laptop,Latitude 7400,,1,HCNX0Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
281,Dell Laptop,Latitude 7400,,1,819MN13,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
282,Dell Laptop,Latitude 7400,,1,9GXG633,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
283,Dell Laptop,Latitude 7400,,1,D9CG633,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
284,Dell Laptop,Latitude 7400,,1,GFHH533,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
285,Dell Laptop,Latitude 7400,,1,GH9X2X2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
286,Dell Laptop,Latitude 7400,,1,849X2X2,i5 8th Gen - 8 GB RAM - 256 NVMe,,12/20/2024
287,TP Link - 16-Port  Gigabit Desktop Switch (12V x 1A),TP-Link TL-sg116,,1,2.22627E+12,,,12/24/2024
289,Dell,LCD S2725H,,1,C0W4H34,,,12/30/2024
290,Dell,LCD S2725H,,1,DZT4H34,,,12/30/2024
291,Dell,LCD S2725H,,1,HJT4H34,,,12/30/2024
292,Dell,LCD S2725H,,1,GMV4H34,,,12/30/2024
293,Dell Laptop,Dell Latitude 7480,,1,FXSF3H2,"i5-7300U 16 GB, 256 GB NVMe",,1/8/2025
294,Dell Laptop,Dell Latitude 7490,,1,7Y6HTQ2,"i5-7300U 16 GB, 256 GB NVMe",,1/8/2025
295,Dell Laptop,Dell Latitude 7490,,1,H7DHTQ2,"i5-7300U 16 GB, 256 GB NVMe",,1/8/2025
296,Dell Laptop,Dell Latitude 7480,,1,62VP3H2,"i5-7300U 16 GB, 256 GB NVMe",,1/8/2025
